accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.47,0.17,0.82, 0.11, 6.89, 8.53,
 0.43,0.18,0.82, 2.58, 1.24, 8.67,
 0.47,0.14,0.84, 6.43, -0.70, 5.05,
 0.45,0.18,0.82, 2.69, 3.31, 3.95,
 0.49,0.20,0.83, 4.49, 13.19, 6.14,
 0.45,0.19,0.85, 2.79, 10.72, 6.17,
 0.47,0.19,0.87, -0.66, 9.25, 5.65,
 0.45,0.19,0.86, -2.98, 8.46, 5.40,
 0.48,0.19,0.85, -3.07, 10.46, 6.06,
 0.48,0.20,0.85, -2.21, 11.08, 7.30,
 0.44,0.18,0.83, -4.73, 10.84, 6.75,
 0.46,0.18,0.84, -5.34, 9.77, 7.10,
 0.48,0.18,0.80, -1.69, 8.47, 6.52,
 0.51,0.19,0.80, 1.98, 15.37, 9.80,
 0.39,0.20,0.84, -0.75, 2.70, 13.73,
 0.43,0.16,0.85, 0.27, -0.61, 10.06,
 0.46,0.21,0.82, -3.02, 5.07, 9.83,
 0.45,0.19,0.83, -1.94, 10.60, 10.85,
 0.43,0.19,0.81, -1.77, 7.25, 10.96,
 0.42,0.19,0.82, -0.63, 7.36, 10.87,
 0.42,0.20,0.80, -0.93, 6.49, 9.94,
 0.43,0.20,0.82, -1.11, 4.84, 8.87,
 0.44,0.19,0.83, -1.04, 3.82, 8.67,
 0.45,0.19,0.84, -1.66, 4.43, 8.70,
 0.44,0.20,0.83, -2.31, 6.34, 7.86,
 0.43,0.21,0.84, -2.67, 7.08, 6.73,
 0.42,0.21,0.84, -2.96, 6.60, 5.83,
 0.43,0.18,0.83, -3.74, 7.05, 3.73,
 0.43,0.19,0.82, -3.62, 6.75, 2.60,
 0.43,0.17,0.81, 3.16, 6.98, 0.90,
 0.44,0.15,0.78, 5.48, 11.94, 1.86,
 0.47,0.19,0.88, 2.49, -1.24, -2.32,
 0.44,0.17,0.82, 4.06, -2.03, -2.15,
 0.49,0.18,0.81, -0.15, 5.77, 0.76,
 0.48,0.17,0.81, -1.76, 5.85, 1.82,
 0.47,0.16,0.81, -1.82, 4.63, 1.71,
 0.48,0.17,0.79, 0.31, 5.04, 0.82,
 0.48,0.17,0.79, 0.75, 5.60, 1.21,
 0.48,0.17,0.80, 0.78, 5.01, 2.11,
 0.49,0.18,0.80, 2.03, 3.18, 2.47,
 0.48,0.17,0.80, 2.29, 4.34, 2.50,
 0.48,0.19,0.80, 2.03, 4.66, 3.07,
 0.48,0.19,0.80, 2.20, 5.95, 3.59,
 0.48,0.19,0.79, 3.05, 7.45, 3.77,
 0.48,0.19,0.80, 2.90, 8.18, 4.23,
 0.46,0.19,0.81, 1.37, 7.01, 4.90,
 0.46,0.18,0.81, 1.34, 6.66, 4.82,
 0.46,0.17,0.80, 1.76, 6.92, 3.80,
 0.44,0.18,0.80, 2.50, 6.38, 4.34,
 0.44,0.17,0.80, 2.27, 5.76, 4.18,
 0.44,0.17,0.80, 2.55, 3.97, 3.82,
 0.44,0.17,0.79, 2.76, 2.56, 3.37,
 0.45,0.19,0.80, 3.07, 1.04, 3.74,
 0.46,0.19,0.81, 3.25, 0.89, 4.53,
 0.47,0.20,0.81, 3.57, 1.04, 5.51,
 0.47,0.20,0.82, 3.48, 1.86, 6.61,
 0.47,0.21,0.83, 2.06, 2.60, 7.10,
 0.46,0.21,0.84, 0.70, 4.34, 7.50,
 0.44,0.21,0.81, 0.38, 4.46, 7.92,
 0.43,0.20,0.82, 0.53, 4.11, 7.36,
 0.43,0.20,0.82, 0.64, 3.19, 5.89,
 0.43,0.21,0.82, 0.06, 2.79, 4.89,
 0.44,0.21,0.83, -0.40, 2.05, 4.60,
 0.44,0.21,0.83, -0.61, 1.24, 4.66,
 0.45,0.22,0.84, -0.79, 1.51, 4.49,
 0.46,0.22,0.83, -1.47, 2.02, 5.10,
 0.45,0.22,0.84, -2.29, 2.60, 5.80,
 0.45,0.21,0.84, -1.86, 2.12, 6.52,
 0.45,0.21,0.83, -1.66, 2.43, 6.90,
 0.46,0.21,0.85, 5.94, 0.34, 3.89,
 0.44,0.20,0.80, 8.26, 3.94, 2.47,
 0.47,0.21,0.86, 2.21, 4.70, 4.18,
 0.47,0.22,0.86, -1.25, 4.95, 4.37,
 0.48,0.21,0.84, -3.15, 6.14, 4.43,
 0.47,0.21,0.82, -3.27, 7.56, 4.87,
 0.46,0.21,0.81, -3.02, 7.19, 4.96,
 0.45,0.21,0.82, -2.37, 6.58, 4.52,
 0.46,0.21,0.82, -2.21, 6.14, 4.70,
 0.46,0.21,0.81, -2.69, 4.98, 5.91,
 0.47,0.20,0.82, -2.70, 4.67, 7.85,
 0.45,0.19,0.79, -1.73, 5.62, 8.79,
 0.45,0.19,0.80, 2.96, 6.73, 10.00,
 0.40,0.17,0.79, 3.01, 5.07, 9.57,
 0.41,0.18,0.81, 0.87, 2.58, 9.60,
 0.42,0.18,0.80, 1.98, 1.27, 9.36,
 0.43,0.19,0.79, 4.05, 1.22, 9.25,
 0.43,0.19,0.81, 5.45, 1.15, 9.21,
 0.43,0.20,0.82, 6.61, 0.73, 9.48,
 0.44,0.21,0.83, 6.60, 1.31, 9.01,
 0.44,0.21,0.85, 6.50, 1.62, 8.44,
 0.44,0.22,0.85, 5.08, 1.85, 8.20,
 0.44,0.23,0.86, 4.05, 1.76, 8.32,
 0.45,0.22,0.87, 3.71, 3.08, 7.77,
 0.44,0.23,0.88, 2.85, 4.75, 7.05,
 0.45,0.23,0.89, 2.35, 6.56, 6.50,
 0.45,0.23,0.87, 0.69, 7.69, 6.96,
 0.45,0.22,0.87, -0.76, 7.34, 7.51,
 0.45,0.22,0.85, -1.11, 5.66, 8.03,
 0.45,0.21,0.85, -1.98, 5.15, 8.99,
 0.45,0.20,0.83, -2.37, 5.28, 9.48,
 0.45,0.20,0.83, -2.43, 5.01, 9.85,
 0.46,0.20,0.82, -2.14, 4.99, 10.79,
 0.45,0.19,0.81, -1.71, 5.18, 11.59,
 0.44,0.20,0.82, -0.76, 4.78, 11.86,
 0.44,0.19,0.81, 0.98, 4.66, 11.95,
 0.43,0.20,0.81, 1.50, 4.61, 12.09,
 0.43,0.20,0.83, 1.54, 3.56, 11.76,
 0.43,0.20,0.84, 1.82, 3.97, 11.39,
 0.44,0.20,0.83, 2.06, 4.69, 10.23,
 0.44,0.19,0.85, 1.59, 5.53, 8.85,
 0.44,0.20,0.86, 0.66, 5.47, 8.08,
 0.44,0.20,0.87, -0.58, 5.85, 6.81,
 0.45,0.20,0.86, -2.06, 6.23, 6.11,
 0.45,0.20,0.86, -2.66, 6.72, 6.34,
 0.45,0.19,0.86, -2.87, 7.50, 7.21,
 0.45,0.18,0.84, -3.07, 7.34, 8.00,
 0.44,0.19,0.84, -2.63, 7.18, 9.15,
 0.44,0.19,0.83, -2.69, 6.46, 10.12,
 0.43,0.19,0.82, -2.12, 5.88, 10.78,
 0.43,0.19,0.81, -0.67, 4.92, 10.76,
 0.42,0.19,0.81, -0.24, 3.45, 10.67,
 0.41,0.20,0.83, 0.17, 2.70, 10.41,
 0.41,0.20,0.82, 0.35, 2.34, 10.23,
 0.41,0.21,0.83, 0.92, 0.52, 9.63,
 0.42,0.21,0.84, 1.27, 0.56, 8.78,
 0.41,0.22,0.85, 0.18, 0.82, 7.94,
 0.42,0.22,0.86, 0.38, 1.39, 6.53,
 0.43,0.23,0.85, -0.72, 2.35, 6.41,
