accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.14,-0.06,1.01,-6.24,-13.27,0.24
0.14,-0.09,1.01,-5.11,-13.68,-0.31
0.18,-0.08,0.98,-5.27,-10.84,0.03
0.16,-0.07,1.01,-4.43,-14.63,0.53
0.18,-0.08,0.93,-3.62,-3.83,-2.11
0.14,-0.07,0.98,-4.75,-8.55,-0.82
0.17,-0.06,0.99,-7.13,-7.1,-0.09
0.14,-0.07,0.98,-7.47,-4.76,-2.06
0.12,-0.1,0.95,-6.55,-11.19,-4.34
0.13,-0.11,0.96,-6.5,-16.03,-4.75
0.2,-0.14,0.92,-1.85,-19.36,-1.53
0.23,-0.12,0.94,1.04,-13.22,0.76
0.19,-0.1,0.98,0.79,-13.8,1.6
0.24,-0.09,1.0,-0.34,-13.36,3.21
0.23,-0.09,0.99,-1.11,-10.93,3.3
0.21,-0.09,1.02,-1.5,-11.39,2.31
0.24,-0.09,1.0,-3.37,-7.1,2.78
0.26,-0.1,1.0,-3.47,-2.79,3.25
0.28,-0.1,1.0,-3.51,4.87,3.18
0.24,-0.1,1.04,-2.12,3.19,5.3
0.24,-0.08,1.05,-4.89,6.58,5.74
0.21,-0.08,1.06,-7.3,7.39,5.04
0.18,-0.08,1.07,-9.37,4.98,4.18
0.2,-0.08,1.05,-12.9,7.1,4.81
0.21,-0.11,1.02,-10.61,6.72,5.59
0.19,-0.11,1.02,-8.5,6.26,6.03
0.19,-0.1,1.05,-7.65,3.65,7.37
0.18,-0.1,1.02,-7.65,3.63,6.75
0.15,-0.11,1.02,-6.93,-2.35,7.73
0.17,-0.11,1.0,-7.16,-1.74,7.76
0.16,-0.11,1.01,-6.85,-1.95,8.79
0.16,-0.11,1.01,-8.6,-1.89,9.4
0.14,-0.13,1.0,-7.54,-6.43,9.57
0.16,-0.13,0.97,-6.73,-6.18,9.02
0.17,-0.15,0.93,-3.97,-6.06,8.12
0.16,-0.18,0.94,6.18,2.08,5.36
0.17,-0.15,0.96,1.3,-3.1,5.65
