accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 -0.95,0.10,0.23, -10.46, -40.98, 5.79,
 -0.95,0.09,0.23, -11.48, -44.09, 6.08,
 -0.95,0.08,0.24, -11.74, -46.56, 5.57,
 -0.94,0.08,0.23, -11.71, -49.88, 5.25,
 -0.94,0.07,0.23, -11.16, -52.31, 4.93,
 -0.93,0.07,0.23, -9.51, -54.11, 4.50,
 -0.92,0.06,0.23, -7.85, -55.80, 4.17,
 -0.91,0.07,0.24, -6.56, -56.58, 3.56,
 -0.91,0.07,0.25, -5.34, -57.37, 3.11,
 -0.90,0.07,0.26, -4.47, -57.95, 2.75,
 -0.89,0.07,0.26, -3.57, -57.69, 2.70,
 -0.89,0.07,0.27, -2.70, -57.47, 3.18,
 -0.89,0.09,0.29, -3.45, -58.56, 3.85,
 -0.88,0.08,0.29, -3.68, -58.79, 4.56,
 -0.87,0.10,0.31, -4.29, -59.36, 6.17,
 -0.87,0.10,0.31, -4.67, -61.37, 7.74,
 -0.87,0.11,0.32, -5.42, -63.76, 9.60,
 -0.88,0.09,0.34, -5.77, -67.25, 11.63,
 -0.88,0.10,0.33, -6.69, -70.87, 13.92,
 -0.87,0.10,0.35, -7.82, -74.78, 16.49,
 -0.88,0.10,0.34, -7.33, -78.70, 17.71,
 -0.88,0.10,0.34, -5.66, -81.30, 17.74,
 -0.88,0.11,0.35, -1.11, -83.69, 17.42,
 -0.89,0.10,0.33, -0.12, -83.82, 16.55,
 -0.89,0.11,0.35, 1.50, -86.41, 16.69,
 -0.88,0.10,0.34, 4.40, -88.05, 15.54,
 -0.87,0.12,0.37, 5.10, -88.29, 15.92,
 -0.85,0.12,0.37, 5.30, -86.40, 15.02,
 -0.83,0.13,0.38, 4.79, -83.53, 15.04,
 -0.81,0.13,0.40, 4.64, -80.98, 15.98,
