accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
 0.38,0.11,0.91, 2.40, 7.02, 1.53,
 0.39,0.10,0.91, -0.50, 3.65, 2.53,
 0.39,0.11,0.91, -2.75, 4.08, 3.63,
 0.39,0.11,0.91, -4.49, 6.21, 4.50,
 0.38,0.09,0.90, -5.53, 7.86, 4.56,
 0.37,0.09,0.89, -5.66, 7.51, 4.32,
 0.37,0.09,0.88, -5.73, 6.15, 3.88,
 0.39,0.09,0.87, -4.84, 6.02, 4.11,
 0.39,0.09,0.87, -3.33, 6.81, 4.03,
 0.38,0.09,0.87, -2.40, 8.05, 3.79,
 0.38,0.08,0.86, -0.63, 9.73, 3.66,
 0.38,0.08,0.86, 1.66, 10.38, 3.15,
 0.37,0.09,0.84, 4.96, 12.44, 2.63,
 0.35,0.09,0.83, 8.12, 12.17, 2.92,
 0.36,0.07,0.84, 10.58, 12.93, 1.56,
 0.36,0.09,0.87, 11.65, 10.67, 1.04,
 0.36,0.09,0.87, 12.27, 8.75, 0.46,
 0.36,0.09,0.88, 12.17, 8.17, -0.29,
 0.34,0.10,0.87, 12.26, 6.00, 0.67,
 0.35,0.09,0.87, 11.34, 5.50, -1.71,
 0.36,0.11,0.89, 11.60, 5.31, -3.57,
 0.38,0.11,0.90, 10.47, 5.69, -4.26,
 0.38,0.12,0.91, 8.08, 6.50, -4.02,
 0.37,0.13,0.90, 5.22, 7.50, -2.67,
 0.37,0.10,0.88, 3.69, 7.54, -4.34,
 0.37,0.13,0.89, 4.11, 7.01, -4.64,
 0.38,0.12,0.87, 4.06, 6.14, -4.24,
 0.38,0.12,0.90, 3.48, 6.61, -3.11,
 0.38,0.12,0.89, 1.95, 7.21, -1.51,
 0.38,0.12,0.90, -0.37, 7.73, 0.05,
 0.37,0.12,0.90, -1.95, 7.60, 1.10,
 0.38,0.12,0.89, -2.49, 6.63, 1.42,
 0.39,0.13,0.88, -1.89, 5.13, 1.63,
 0.36,0.12,0.86, 0.72, 3.42, 2.61,
 0.38,0.11,0.87, 3.30, 3.68, 2.92,
 0.36,0.12,0.87, 4.75, 3.88, 2.70,
 0.36,0.12,0.87, 6.69, 4.34, 2.24,
 0.35,0.11,0.88, 7.22, 2.99, 1.77,
