accl_x,accl_y,accl_z,gyro_x,gyro_y,gyro_z
0.26,-0.09,1.01,15.86,5.27,-7.79
0.25,-0.09,1.06,15.34,-4.63,-4.75
0.26,-0.08,1.05,14.35,-6.38,-3.22
0.26,-0.09,1.02,15.11,-6.98,-2.24
0.26,-0.09,0.98,17.15,-7.08,-1.47
0.28,-0.08,0.98,19.86,-0.55,-1.19
0.24,-0.09,1.0,20.29,4.2,-3.3
0.2,-0.08,1.05,16.89,3.01,-5.24
0.24,-0.08,1.05,14.72,-0.24,-3.66
0.23,-0.08,1.04,13.91,-3.44,-2.29
0.22,-0.05,1.05,11.56,-5.08,-2.09
0.23,-0.06,1.03,9.73,-2.85,-2.89
0.23,-0.06,0.98,11.22,0.9,-3.86
0.22,-0.08,0.96,12.78,-1.39,-4.55
0.22,-0.07,0.98,14.32,-5.95,-4.84
0.24,-0.06,0.96,15.08,-5.97,-5.73
0.24,-0.06,0.98,14.84,-5.07,-6.27
0.24,-0.05,1.02,11.33,-2.93,-7.45
0.29,-0.03,0.99,10.93,3.31,-7.39
0.29,-0.03,0.98,10.69,6.41,-7.18
0.3,-0.03,1.01,9.51,3.8,-3.79
0.27,-0.03,0.98,10.55,0.96,-2.99
0.25,-0.03,1.0,10.02,0.35,-4.72
0.26,-0.02,1.03,6.93,-0.34,-6.38
0.3,-0.02,0.99,7.6,0.85,-5.62
0.34,-0.01,0.94,10.53,2.38,-2.27
0.3,-0.01,0.97,12.5,-0.15,-0.09
0.27,-0.01,1.01,9.36,-1.53,-1.08
0.26,-0.01,1.05,4.26,-2.05,-2.52
0.29,-0.0,1.02,1.34,2.02,-3.36
0.31,-0.01,0.96,1.68,1.6,-1.77
0.27,-0.01,1.06,-4.34,-6.69,-1.07
0.3,-0.01,1.07,-15.33,-11.08,-1.44
0.31,0.04,1.14,-31.85,-9.24,-1.86
0.35,-0.01,1.17,-45.76,6.95,-1.4
0.31,-0.04,1.06,-52.09,0.35,-0.55
0.25,-0.04,0.95,-49.69,-1.65,-2.24
0.22,-0.03,0.91,-45.16,-0.15,-11.05
0.25,0.09,1.02,-32.47,19.82,-10.17
0.32,-0.11,0.8,-23.05,22.96,-8.12
0.28,-0.1,0.84,-16.63,24.21,-7.01
0.15,-0.04,1.04,-17.08,21.51,-6.89
0.22,-0.09,0.94,-22.05,22.03,-7.63
0.18,-0.11,0.9,-15.51,19.83,-7.91
0.21,-0.09,0.82,-3.37,26.02,-12.44
0.18,-0.06,0.93,0.96,13.19,-12.75
0.22,-0.08,0.97,4.44,9.04,-7.34
0.22,-0.06,1.0,3.65,9.69,-5.83
0.23,-0.07,1.0,1.95,7.97,-3.28
0.23,-0.11,0.95,2.09,14.7,-2.56
0.17,-0.08,1.03,1.15,10.66,-4.0
0.14,-0.05,1.17,-6.72,6.34,-8.41
0.23,-0.08,1.11,-10.18,5.16,-6.37
0.25,-0.12,0.96,-6.05,6.27,-4.4
0.27,-0.09,0.98,-0.53,4.41,-0.03
0.21,-0.1,1.01,1.79,1.33,1.01
0.16,-0.11,1.02,1.05,5.53,-2.58
0.21,-0.1,0.99,1.71,10.02,-4.2
0.25,-0.1,0.99,4.72,7.3,-1.65
0.23,-0.09,1.03,7.73,-3.91,2.43
0.22,-0.09,1.02,8.32,-8.49,4.84
0.2,-0.09,1.01,6.5,-4.09,2.85
0.2,-0.09,1.04,1.63,-0.31,1.3
0.2,-0.09,1.0,2.89,2.32,-0.38
0.25,-0.09,0.95,7.15,7.56,1.04
0.21,-0.09,0.95,12.14,5.86,1.92
0.18,-0.09,0.95,12.92,5.44,0.84
0.14,-0.09,0.99,11.98,-0.82,-2.38
0.16,-0.08,1.02,8.79,-3.66,-4.0
0.19,-0.07,1.0,7.5,1.63,-5.66
0.2,-0.07,0.97,8.52,7.47,-6.75
0.21,-0.07,0.97,10.34,8.46,-5.63
0.24,-0.07,0.99,10.61,5.53,-2.37
0.19,-0.06,1.01,12.08,-1.02,-1.39
0.2,-0.06,1.01,11.91,-1.04,-1.42
0.14,-0.18,1.0,11.65,2.75,-3.42
0.19,-0.06,1.01,11.92,4.49,-3.85
0.22,-0.05,1.02,10.29,7.91,-4.29
0.2,-0.03,1.06,6.17,2.92,-2.69
0.21,-0.05,1.02,7.79,0.67,-1.21
0.2,-0.05,1.01,8.87,0.53,-0.38
0.19,-0.05,1.02,6.81,2.67,-2.0
0.17,-0.06,1.0,7.98,5.92,-4.37
0.16,-0.05,1.03,6.93,2.38,-5.59
0.2,-0.04,1.0,6.49,2.32,-5.65
0.2,-0.04,1.02,5.27,-1.71,-4.14
0.23,-0.02,1.04,4.06,0.58,-2.46
0.12,-0.24,0.99,2.24,3.39,-2.03
0.2,-0.03,1.01,4.73,3.51,-0.98
0.17,-0.03,0.99,5.6,3.89,-1.47
0.18,-0.06,0.96,6.05,8.82,-1.74
0.2,-0.03,0.99,6.41,10.99,-1.08
0.21,-0.03,0.99,7.31,15.42,0.44
0.16,-0.02,1.0,9.21,5.42,0.5
0.15,-0.03,1.02,8.99,2.34,-0.7
0.2,-0.02,1.0,7.02,6.72,-1.28
0.24,-0.02,0.97,7.39,14.15,-0.03
0.23,0.0,0.99,7.86,15.24,3.44
0.17,-0.02,1.0,8.14,12.78,5.82
0.16,-0.01,0.99,8.58,14.92,2.6
0.19,0.04,1.02,13.15,22.78,4.17
0.16,-0.01,0.97,16.12,22.31,3.54
0.13,-0.02,1.02,16.84,15.54,2.35
0.13,-0.01,1.02,14.2,10.46,0.44
0.1,-0.0,1.06,10.55,0.29,-1.4
0.1,0.0,1.07,8.32,-2.05,24.93
0.14,0.0,1.05,8.78,1.18,-2.11
0.1,-0.07,1.05,7.44,1.05,-2.56
0.14,0.0,1.04,6.46,1.27,-2.96
0.15,0.01,1.0,9.66,0.92,-2.37
0.15,0.01,1.02,8.35,3.25,-2.87
0.17,0.02,1.03,6.29,4.84,-2.66
0.16,0.02,1.04,4.06,3.4,-2.38
0.18,0.02,1.02,4.24,2.24,-0.79
0.16,0.02,0.97,6.81,-1.44,0.56
0.18,0.03,1.01,5.07,0.14,1.68
0.21,0.04,0.98,5.37,7.71,14.75
0.2,0.04,1.0,2.14,20.29,3.94
0.18,0.04,0.94,5.13,20.96,5.39
0.11,0.02,0.99,1.4,31.13,41.25
0.04,0.03,1.03,5.3,15.85,0.67
0.08,0.01,1.04,3.82,10.14,-1.19
-0.0,-0.16,1.0,5.92,5.85,-0.98
0.14,0.02,0.96,9.95,2.41,1.83
