time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00015,0.12,0.12,0.99,-3.21,-2.76,1.83
0.0001533333333333333,0.13,0.11,0.99,-2.85,-0.96,1.44
0.00015666666666666663,0.13,0.14,1.04,-7.18,-0.35,1.85
0.00015999999999999996,0.15,0.11,1.0,-5.25,2.89,1.98
0.00016333333333333328,0.13,0.12,1.0,-6.08,2.55,2.7
0.0001666666666666666,0.11,0.14,1.07,-9.92,0.37,3.5
0.00016999999999999993,0.13,0.1,0.98,-7.44,3.27,2.09
0.00017333333333333325,0.13,0.09,0.98,-4.78,4.43,2.72
0.00017666666666666658,0.1,0.1,1.03,-4.34,3.77,2.85
0.0001799999999999999,0.07,0.11,1.03,-5.74,0.55,1.54
0.00018333333333333323,0.08,0.12,1.05,-6.76,-1.95,1.1
0.00018666666666666655,0.11,0.1,1.01,-5.74,-1.33,0.87
0.00018999999999999987,0.12,0.09,1.01,-5.8,-0.99,2.0
0.0001933333333333332,0.09,0.1,1.06,-7.3,-3.31,2.43
0.00019666666666666652,0.03,0.12,1.12,-9.15,-5.4,-0.29
0.00019999999999999985,-0.0,0.11,1.13,-10.58,-12.84,-2.12
0.00020333333333333317,0.02,0.08,1.05,-9.21,-18.15,-4.2
0.0002066666666666665,0.04,0.06,1.01,-6.9,-21.69,-5.22
0.00020999999999999982,0.07,0.04,0.96,-4.18,-24.69,-6.99
0.00021333333333333314,0.1,0.05,0.96,-2.05,-27.31,-7.13
0.00021666666666666647,0.11,0.08,1.04,-5.92,-27.98,-6.96
0.0002199999999999998,0.16,0.07,0.99,-4.37,-23.57,-5.79
0.00022333333333333311,0.19,0.09,1.0,-5.31,-18.14,-4.67
0.00022666666666666644,0.2,0.11,1.04,-8.26,-12.35,-3.15
0.00022999999999999976,0.2,0.09,1.03,-9.86,-9.65,-0.26
0.0002333333333333331,0.22,0.1,1.03,-10.98,-4.4,2.73
0.0002366666666666664,0.2,0.08,1.01,-12.85,-0.63,4.02
0.00023999999999999974,0.18,0.07,1.02,-13.68,-0.82,3.92
0.00024333333333333306,0.17,0.06,1.0,-12.06,2.15,2.43
0.0002466666666666664,0.16,0.07,1.02,-13.39,-1.04,2.7
0.00024999999999999973,0.17,0.06,1.0,-11.65,0.69,0.99
0.00025333333333333306,0.16,0.07,1.02,-12.0,-1.76,1.82
0.0002566666666666664,0.19,0.07,1.01,-12.14,-2.12,2.02
0.0002599999999999997,0.18,0.07,1.01,-11.11,-1.63,0.76
