time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.0005099999999999994,0.05,-0.11,1.08,1.07,9.92,-2.23
0.0005133333333333328,0.12,-0.09,1.1,-10.31,33.53,-2.38
0.0005166666666666661,0.12,-0.09,1.06,-17.65,49.8,-0.82
0.0005199999999999995,0.03,-0.13,0.99,-15.48,43.66,1.83
0.0005233333333333329,0.02,-0.15,0.94,-9.98,33.33,6.17
0.0005266666666666663,-0.07,-0.17,1.0,-6.32,16.78,5.82
0.0005299999999999997,-0.11,-0.18,0.96,-4.08,8.67,-0.38
0.000533333333333333,-0.1,-0.17,0.89,5.11,6.64,-3.77
0.0005366666666666664,-0.03,-0.16,0.93,10.99,2.21,-2.64
0.0005399999999999998,-0.05,-0.16,0.97,13.83,-9.98,-0.9
0.0005433333333333332,-0.07,-0.15,1.06,9.01,-13.45,-4.24
0.0005466666666666665,-0.02,-0.14,1.04,6.55,-8.15,-4.53
0.0005499999999999999,-0.03,-0.13,1.09,4.08,-10.43,-4.93
0.0005533333333333333,-0.03,-0.13,1.04,6.79,-12.05,-4.55
0.0005566666666666667,0.03,-0.12,1.06,6.43,-6.18,-2.61
0.0005600000000000001,0.01,-0.12,1.06,3.22,-0.89,-2.24
0.0005633333333333334,0.01,-0.12,1.04,2.06,-0.09,-1.34
0.0005666666666666668,-0.01,-0.12,1.03,2.7,-2.02,-1.62
0.0005700000000000002,-0.03,-0.13,1.01,2.99,-2.43,-2.76
0.0005733333333333336,-0.02,-0.12,1.02,1.77,-2.35,-3.79
0.000576666666666667,0.03,-0.11,1.01,-1.53,6.37,-3.66
0.0005800000000000003,0.1,-0.11,0.98,-4.34,24.84,-1.21
0.0005833333333333337,0.08,-0.12,0.96,-4.5,39.86,0.18
0.0005866666666666671,-0.02,-0.15,0.97,-2.47,38.72,0.23
0.0005900000000000005,-0.05,-0.16,0.93,2.66,35.56,1.16
0.0005933333333333338,-0.09,-0.15,0.91,8.26,29.65,-2.63
0.0005966666666666672,-0.07,-0.14,0.91,10.64,24.5,-3.01
0.0006000000000000006,-0.07,-0.12,0.94,10.38,19.22,-3.15
0.000603333333333334,-0.06,-0.09,1.0,4.67,15.89,-3.01
0.0006066666666666674,-0.07,-0.1,0.98,-0.72,12.08,-4.18
0.0006100000000000007,-0.07,-0.1,0.92,-0.18,13.25,-6.06
0.0006133333333333341,-0.03,-0.1,0.9,4.52,12.34,-5.48
0.0006166666666666675,-0.01,-0.11,0.98,3.92,8.49,-2.08
0.0006200000000000009,-0.0,-0.09,1.02,5.88,3.45,1.18
0.0006233333333333342,-0.07,-0.09,1.03,7.28,-1.01,1.07
0.0006266666666666676,-0.08,-0.09,1.07,7.28,-9.47,1.73
0.000630000000000001,-0.04,-0.11,1.06,9.86,-13.94,3.33
0.0006333333333333344,-0.06,-0.11,1.05,11.73,-15.71,3.04
0.0006366666666666678,-0.02,-0.11,1.06,12.43,-10.61,4.0
0.0006400000000000011,-0.01,-0.1,1.1,11.94,-7.95,5.74
0.0006433333333333345,-0.07,-0.11,1.14,9.65,-14.55,6.41
0.0006466666666666679,-0.03,-0.1,1.1,10.75,-14.53,9.22
0.0006500000000000013,-0.1,-0.12,1.1,11.92,-12.72,8.06
0.0006533333333333346,-0.1,-0.11,1.11,10.56,-12.82,6.23
0.000656666666666668,-0.08,-0.11,1.12,7.4,-6.53,5.4
0.0006600000000000014,-0.12,-0.11,1.13,3.8,-6.24,2.89
0.0006633333333333348,-0.12,-0.1,1.12,0.85,-12.08,0.85
0.0006666666666666682,-0.11,-0.09,1.1,1.22,-16.38,-1.28
0.0006700000000000015,-0.08,-0.1,1.06,-2.0,-25.13,-0.41
0.0006733333333333349,-0.04,-0.11,1.01,-0.82,-24.72,-0.2
0.0006766666666666683,-0.05,-0.1,0.98,2.15,-23.91,-1.95
0.0006800000000000017,-0.08,-0.1,1.0,2.64,-25.59,-4.82
0.000683333333333335,-0.01,-0.1,0.96,3.57,-21.05,-5.01
0.0006866666666666684,-0.0,-0.09,0.96,4.0,-18.96,-4.26
0.0006900000000000018,-0.02,-0.1,1.01,1.83,-18.69,-4.85
0.0006933333333333352,-0.01,-0.08,1.02,-0.2,-16.99,-5.11
0.0006966666666666686,-0.05,-0.08,1.02,-0.53,-18.32,-6.89
0.0007000000000000019,-0.01,-0.09,1.01,0.23,-16.92,-7.16
0.0007033333333333353,0.05,-0.09,0.99,-0.63,-8.43,-6.7
0.0007066666666666687,0.05,-0.09,0.98,-1.44,-0.55,-5.47
0.0007100000000000021,0.03,-0.09,1.02,-2.75,-0.95,-4.41
0.0007133333333333355,-0.03,-0.02,1.01,-2.95,-6.66,-5.54
0.0007166666666666688,-0.01,-0.1,1.01,-3.42,-6.32,-6.61
0.0007200000000000022,0.02,-0.1,0.99,-4.06,-6.17,-6.98
0.0007233333333333356,0.03,-0.11,0.97,-2.23,-7.97,-5.88
0.000726666666666669,-0.0,-0.11,1.0,-1.45,-10.29,-6.55
0.0007300000000000023,0.06,-0.09,1.01,-2.89,-0.38,-6.56
0.0007333333333333357,0.03,-0.09,1.06,-8.52,4.27,-7.94
0.0007366666666666691,0.05,-0.11,1.01,-8.64,2.47,-7.13
0.0007400000000000025,0.03,-0.12,0.99,-5.3,-2.98,-5.5
0.0007433333333333359,0.01,-0.12,0.98,-3.62,-6.24,-6.82
0.0007466666666666692,0.02,-0.11,1.01,-4.02,-4.31,-8.61
0.0007500000000000026,0.04,-0.1,0.99,-3.34,-2.26,-8.81
0.000753333333333336,0.1,-0.09,0.94,0.47,-1.51,-4.85
0.0007566666666666694,0.03,-0.09,1.0,1.37,-11.27,-2.92
0.0007600000000000028,0.03,-0.09,0.95,5.1,-12.73,-4.27
0.0007633333333333361,0.04,-0.1,0.95,6.81,-15.15,-4.31
0.0007666666666666695,0.07,-0.09,0.96,7.8,-17.6,-2.81
0.0007700000000000029,0.06,-0.09,0.91,10.89,-12.89,-2.92
0.0007733333333333363,0.1,-0.08,0.95,10.32,-2.56,-0.4
0.0007766666666666696,0.08,-0.07,1.0,8.27,2.14,4.9
0.000780000000000003,-0.04,-0.09,1.05,4.23,-1.76,6.4
0.0007833333333333364,-0.13,-0.11,1.0,3.83,-5.53,0.64
0.0007866666666666698,-0.05,-0.13,0.92,8.73,-3.82,-2.52
0.0007900000000000032,-0.04,-0.13,0.92,16.76,-12.79,-4.61
0.0007933333333333365,-0.01,-0.11,0.94,23.05,-16.14,-6.82
0.0007966666666666699,0.14,-0.09,0.98,22.9,-11.91,-4.64
0.0008000000000000033,0.21,-0.06,1.02,23.36,-5.71,0.79
0.0008033333333333367,0.26,-0.07,1.03,24.87,3.22,8.0
0.00080666666666667,0.21,-0.05,1.08,25.11,11.56,11.71
0.0008100000000000034,0.14,-0.05,1.15,22.26,18.69,12.41
0.0008133333333333368,0.03,-0.04,1.2,18.37,16.89,9.63
0.0008166666666666702,-0.04,-0.04,1.23,13.25,12.96,5.24
0.0008200000000000036,0.0,-0.03,1.21,8.87,9.4,3.15
0.0008233333333333369,0.02,-0.05,1.16,6.37,5.4,1.91
0.0008266666666666703,0.04,-0.05,1.12,6.47,3.42,1.37
0.0008300000000000037,0.03,-0.03,1.15,4.24,-2.18,-0.24
0.0008333333333333371,0.03,-0.04,1.15,1.71,-5.3,-2.06
0.0008366666666666705,0.06,-0.04,1.12,-0.23,-4.53,-2.82
0.0008400000000000038,0.03,-0.04,1.11,-2.35,-5.48,-4.96
0.0008433333333333372,0.05,-0.04,1.07,-4.84,-2.09,-6.27
0.0008466666666666706,0.05,-0.04,1.04,-4.66,-2.03,-8.09
0.000850000000000004,0.05,-0.04,1.03,-5.45,-7.6,-8.69
0.0008533333333333373,0.1,-0.02,0.98,-5.39,-12.17,-6.35
0.0008566666666666707,0.1,-0.01,1.01,-8.23,-12.15,-5.73
0.0008600000000000041,0.13,-0.0,0.97,-10.4,-1.73,-5.71
0.0008633333333333375,0.16,-0.0,0.93,-8.11,6.85,-1.98
0.0008666666666666709,0.11,-0.02,0.97,-8.17,4.11,1.33
0.0008700000000000042,0.12,-0.04,0.94,-4.11,6.38,3.86
0.0008733333333333376,0.05,-0.05,0.93,-2.93,5.91,2.03
0.000876666666666671,0.01,-0.04,1.01,-4.34,3.97,-0.82
0.0008800000000000044,0.02,-0.05,1.02,-4.76,-2.24,-1.66
0.0008833333333333377,0.03,-0.04,1.02,-6.63,-7.97,-1.62
0.0008866666666666711,0.08,-0.05,0.99,-6.09,-7.68,-1.69
0.0008900000000000045,0.11,-0.04,0.98,-4.63,-3.02,-0.38
0.0008933333333333379,0.1,-0.03,1.02,-6.05,2.63,0.81
0.0008966666666666713,0.06,-0.04,1.05,-5.91,-0.76,1.6
0.0009000000000000046,0.05,-0.05,1.06,-6.32,-1.82,2.87
0.000903333333333338,0.02,-0.07,1.03,-5.25,-5.18,0.17
0.0009066666666666714,-0.01,-0.08,1.04,-4.14,-9.77,-3.98
0.0009100000000000048,0.09,-0.06,0.99,-2.72,-8.43,-2.76
0.0009133333333333382,0.13,-0.06,1.0,-1.48,-1.82,-0.06
0.0009166666666666715,0.09,-0.06,1.05,-4.0,-2.89,0.29
0.0009200000000000049,0.06,-0.06,1.06,-5.95,-12.5,0.92
0.0009233333333333383,0.05,-0.07,1.08,-7.66,-13.37,-1.21
0.0009266666666666717,0.06,-0.04,1.05,-8.34,-10.37,-2.27
0.000930000000000005,0.11,-0.04,1.03,-6.15,-4.55,-1.1
0.0009333333333333384,0.12,-0.05,1.05,-5.45,4.46,0.43
0.0009366666666666718,0.04,-0.06,1.11,-8.96,1.6,0.27
0.0009400000000000052,0.01,-0.06,1.15,-13.51,-0.06,-1.79
0.0009433333333333386,0.01,-0.06,1.07,-15.19,-1.13,-1.98
0.0009466666666666719,-0.02,-0.07,1.06,-13.97,-10.27,-2.41
0.0009500000000000053,0.03,-0.08,1.02,-12.84,-9.57,-1.57
0.0009533333333333387,0.06,-0.08,0.94,-7.33,-6.06,-1.25
0.0009566666666666721,0.06,-0.08,0.93,-4.5,-2.43,-1.83
0.0009600000000000054,0.06,-0.09,0.94,-1.1,3.22,-1.65
0.0009633333333333388,0.07,-0.09,0.96,0.56,-1.11,0.29
0.0009666666666666722,0.07,-0.08,0.98,0.46,-1.25,1.01
0.0009700000000000056,0.06,-0.08,0.95,1.47,-2.93,1.13
0.000973333333333339,0.08,-0.1,0.95,2.85,-2.75,1.25
0.0009766666666666723,0.07,-0.11,0.93,5.92,-5.11,0.75
